Destinasi ,2. Alamat,3. Kalurahan/Kelurahan,4. Kapanewon/Kemantren,4.a.  Kabupaten /kota,5. Status Lahan,6. Koordinat,7. Kontak Pengelola 1,7. Kontak Pengelola 2,8. Situs/website,10.a. Facebook,10.b. Instagram,10.c. Youtube,10.d. Tiktok,11. Kelompok Perizinan berusaha Berbasis Risiko,Jenis Wisata,Rating Maps,Latitude,Longitude,Daya Tarik Utama,Harga Tiket Weekday,Harga Tiket Weekend dan Libur Nasional,Parkir Motor,Parkir Mobil,Jam Buka Weekday,Jam Buka Weekend dan Libur Nasional,Toilet,Tempat Sampah,CCTV,Area Parkir,Area Makanan/kafetaria/Restoran,Ruang Ibadah,Area Istirahat Pengunjung
Sadranan Park,Pule Gunde II,Sidoharjo,Tepus,Gunungkidul,Milik Pribadi/Investor Sewa pada pemilik tanah,"-8.142541,110.605785",0882006746308 bapak wakit (pengelola),087761314601 (admin),Tidak Ada,Tidak Ada,@SadrananPark,Tidak Ada,Sadranan Park Jogja,Tidak Ada Keterangan,Taman Rekreasi,4.5,-8.142449735,110.6057851,Wahana Permainan,"Rp15,000","Rp15,000","Rp3,000","Rp5,000",10.00-17.00,10.00-18.00,Ada,Ada,Ada,Ada,Ada,Ada,Ada
Waterbom Jogja,"Jalan Utara, Jenengan, Maguwoharjo",Maguwoharjo,Depok,Sleman,,,,,,,,,,,Taman Rekreasi,4.6,-7.748005349,110.4188751,Wahana air,"Rp55,000","Rp60,000","Rp3,000","Rp5,000",09.00-16.00,09.00-16.00,Ada,Ada,Ada,Ada,Ada,Ada,Tidak Ada
Waterbyur ,Kompleks Sumber Ponjong ,Ponjong ,Ponjong ,Gunungkidul,Milik Kalurahan Ponjong ,"7°58'55""S 110°42'52""E",081325421183,-,-,-,waterbyur,WaterByur,-,Rendah,Taman Rekreasi,4.2,-7.863970544,110.3367102,Kolam renang dengan berbagai wahana air yang cocok untuk wisata keluarga.,"Rp15,000","Rp15,000","Rp3,000","Rp5,000",08.00-17.00,07.00-17.00,Ada,Ada,Tidak Ada,Ada,Ada,Ada,Ada
Obelix Hills,"Klumprit, Blok I & 2, Klumprit II",Wukirharjo,Prambanan,Sleman,Sewa Tanah Kasultanan,"-7.80638, 110.51839",081392812878,081392812878,obelixhills.com,Obelixhills,obelixhills,OBELIX HILLS,Obelix hills,Rendah,Taman Rekreasi,4.6,-7.805967984,110.5215377,Pemandangan alam perbukitan,"Rp25,000","Rp30,000","Rp5,000","Rp10,000",11.00-19.00,08.00-19.00,Ada,Ada,Ada,Ada,Ada,Ada,Ada
Bunga Chrysant,Karang,Gerbosari,Samigaluh,Kulon Progo,kas desa kalurahan gerbosari,"-7.677393771431772, 110.17709285010326",087738377778 (ernita desiana),-,-,-,@agrowisatagerbosari,-,-,Rendah,Taman Rekreasi,3.7,-7.62394908,110.423731,Hamparan perkebunan bunga krisan,"Rp10,000","Rp10,000","Rp2,000","Rp5,000",08.00-18.00,08.00-18.00,Ada,Ada,Ada,Ada,Ada,Ada,Ada
Teras Merapi,kalitengah kidul,glagaharjo,cangkringan,Sleman,tanah kas desa(TKD),"-7.587703706591977, 110.45585267871276",085290125106,wisataterasmerapi@gmail.com,-,Teras Merapi,wisata.terasmerapi,-,wisataterasmerapi,Tidak Ada Keterangan,Alam,4.7,-7.587022519,110.4557036,camping ground dan pemandangan,"Rp10,000","Rp10,000","Rp3,000","Rp5,000",08.00-19.00,08.00-19.00,Ada,Ada,Tidak Ada,Ada,Ada,Ada,Ada
Pantai Mesra,Jl pantai Kukup Ngepung,Kemadang,Tanjungsari ,Gunungkidul,Tanah Kasultanan ,"-8.128645, 110.549056",082328025508,-,-,-,Pantaimesrajogja,-,-,Tidak Ada Keterangan,Alam,4.7,-8.131804825,110.5535627,Taman rumput dan view laut atau pantai,"Rp10,000","Rp10,000","Rp3,000","Rp5,000",05.00-20.01,05.00-20.01,Ada,Ada,Tidak Ada,Ada,Ada,Ada,Ada
Hutan Pinus Mangunan (Hutan Pinus Sari),Padukuhan Mangunan,Mangunan,Dlingo,Bantul,DLH / Tanah Kasultanan,"-7. 9260953, 110.4304659",(Bapak Hendri) 0821134188108,-,-,-,@hutanpinusmangunan,-,@hutanpinusmangunan,Rendah,Alam,4.6,-7.921856742,110.4302935,Hutan pinus yang rimbun dan asri,"Rp7,000","Rp7,000","Rp3,000","Rp5,000",06.00-18.00,06.00-18.00,Ada,Ada,Ada,Ada,Ada,Ada,Ada
Pantai Kayu Arum ,Kranon,Kanigoro,Saptosari,Gunungkidul,Tanah Kasultanan,"-8.129358413478302, 110.53424522329169",082232370184,-,-,-,pantai_kayuarum,-,-,Tidak Ada Keterangan,Alam,4.7,-8.129315937,110.5342452,Pantai,"Rp8,000","Rp8,000","Rp3,000","Rp5,000",00.00-23.59,00.00-23.59,Ada,Ada,Tidak Ada,Ada,Ada,Ada,Ada
Museum Muhammadiyah ,Tamanan,Tamanan ,Banguntapan,Bantul,SHM ,"-7.833789175431932, 110.38384096746806",081287871912,-,museum.muhammadiyah.or.id,Museum Muhammadiyah,museum.mu,Museum Muhammadiyah Official ,museummuhammadiyah ,Tidak Ada Keterangan,Sejarah,4.9,-7.833273094,110.3837874,Museum yang menyimpan sejarah dan perjuangan organisasi Muhammadiyah,"Rp30,000","Rp30,000","Rp3,000","Rp5,000",09.00-16.00,09.00-16.00,Ada,Ada,Ada,Ada,Ada,Ada,Ada
Seribu Batu Songgolangit ,"Jalan hutan pinus, Sukarame",Mangunan,Dlingo,Bantul,Perhutani ,"-7.930898, 110.430855",081911304473,087739513004,-,-,Seribubatu_songgolangit,-,-,Menengah Rendah,Alam,4.6,-7.930018997,110.4308484,Rumah seribu kayu dengan hutan pinus,"Rp5,000","Rp5,000","Rp3,000","Rp5,000",06.00-19.00,06.00-19.00,Ada,Ada,Tidak Ada,Ada,Ada,Ada,Ada
Grojogan Watu Purba ,"Jl. Grojogan Watu Purbo, Bangunrejo",Medikorejo,Tempel,Sleman,Pemerintah Desa Medikorejo,"7°37'50"" S 110°20'26"" E",081388952547,071327509611,watupurbo.wordpress.com,Grojogan Watu Purbo,grojogan_watupurbo,-,-,Tidak Ada Keterangan,Alam,4.5,-7.629947351,110.3406438,"Air terjun buatan yang memiliki 7 tingkatan, memanfaatkan aliran Sungai Krasak dan Sungai Bebeng.","Rp3,000","Rp3,000","Rp2,000","Rp5,000",07.00-17.00,07.00-17.30,Ada,Ada,Tidak Ada,Ada,Ada,Ada,Ada
Perbukitan Widosari,Tritis,Ngargosari,Samigaluh,Kulon Progo,Tanah Kasultanan,"-7.657142120749622, 110.14913061554282",083144680378,-,-,-,@desawisatawidosari,Desa wisata widosari,@desawisatawidosari,Rendah,Alam,4.6,-7.6563560,110.1488125,Pemandangan perbukitan hijau,"Rp6,000","Rp6,000","Rp3,000","Rp5,000",06.00-18.00,06.00-18.00,Ada,Ada,Tidak Ada,Ada,Ada,Ada,Ada
Museum TNI AD Dharma Wiratama,Jl. jend. sudirman no 75,Terban,Gondokusuman,Kota Yogyakarta,Tanah Kasultanan,"-7.782765, 110.375224",081391045878 (ibu yanti murdiani),museumdharmawiratama@gmail.com,musmonpus-disjarahad.com,dharma wiratama,@museumtniad,@museumpusattniaddharmawira1886,@museumtniad,Rendah,Sejarah,4.7,-7.782080755,110.375617,Koleksi benda-benda bersejarah yang berkaitan dengan Tentara Nasional Indonesia Angkatan Darat.,Rp0,Rp0,"Rp3,000","Rp5,000",08.00-15.00,08.00-15.00,Ada,Ada,Ada,Ada,Ada,Ada,Ada
Museum Laboratorium Sejarah UPY,Sonosewu,Ngestiharjo,Kasihan,Bantul,SHM,"-7.805784250874628, 110.34109485212223",085876266642,-,museorium.ac.id,-,museoriumsejaraupy,-,-,Tidak Ada Keterangan,Sejarah,4.9,-7.805034871,110.3413666,Koleksi maket Mataram Islam  dan Koleksi artefak sejarah dan benda-benda budaya yang terkait dengan peradaban manusia.,Rp0,Rp0,"Rp3,000","Rp5,000",08.00-17.00,closed,Ada,Ada,Ada,Ada,Ada,Ada,Ada
Pantai Ngetun,Sureng,Purwodadi,Tepus,Gunungkidul,Tanah Kasultanan & SHM,"-8.1703883,110.6523680",082327550453,-,-,-,-,-,-,Tidak Ada Keterangan,Alam,4.6,-8.161645637,110.653976,pantai,"Rp5,000","Rp5,000","Rp3,000","Rp5,000",00.00-23.59,00.00-23.59,Ada,Ada,Tidak Ada,Ada,Ada,Ada,Ada
Rumah Sandi Negara,Dukuh,Purwoharjo,Samigaluh,Kulon Progo,Milik Sandi Negara,"-7.706498785689254, 110.20299203898081",089631576382 (Mbak Imas),-,-,-,-,-,-,Rendah,Sejarah,4.8,-7.70788251,110.20350692,Bangunan bersejarah yang dulunya menjadi pusat komunikasi rahasi,Rp0,Rp0,"Rp3,000","Rp5,000",08.00-16.00,08.00-16.00,Ada,Ada,Tidak Ada,Ada,Tidak Ada,Ada,Ada
Air Terjun Curug Sidoharjo,Goronglanngu,Sidoharjo,Samigaluh,Kulon Progo,Sultan Ground,"7°40'11""S 110°12'07""E",083863420486,-,-,-,curugsidoharjo_,-,Curug Sidoharjo,Tidak Ada Keterangan,Alam,4.6,-7.669467756,110.2019519,Air Terjun,"Rp10,000","Rp10,000","Rp3,000","Rp5,000",00.00-23.59,00.00-23.59,Tidak Ada,Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Mengger Kemuning,"Jl.Lingkar Waduk Sermo, Tegiri 1",Hargowilis ,Kokap,Kulon Progo,BBWS,"-7.82249748327976, 110.1084855232862",085742460729,-,-,Mengger Kemuning,menggerkemuning_waduksermo / campingground_waduksermo,-,Mengger Kemuning,Tidak Ada Keterangan,Alam,4.7,-7.82203177,110.10860511,Camping ground dan pemandangan sunset yang indah dengan latar Waduk Sermo,"Rp15,000","Rp15,000","Rp3,000","Rp5,000",00.00-23.59,00.00-23.59,Ada,Ada,Tidak Ada,Ada,Ada,Ada,Ada
Pantai Mbuluk,Rejosari,Kemadang ,Tanjungsari ,Gunungkidul,Tanah Kasultanan ,"-8.128645, 110.549056",081226247271,-,-,-,-,-,-,Tidak Ada Keterangan,Alam,4.7,-8.126164242,110.5512911,Pantai dan tebing karang,"Rp15,000","Rp15,000","Rp3,000","Rp5,000",00.00-23.59,00.00-23.59,Ada,Ada,Tidak Ada,Ada,Ada,Ada,Ada
Pantai Bopeso,"Area Hutan, Songbanyu",Songbanyu,Girisubo,Gunungkidul,Tanah Kasultanan,"8°18′–8°20′ LS, ±110°45′–110°48′ BT",-,-,-,-,-,-,-,Tidak Ada Keterangan,Alam,4.6,-8.123815576,110.517592,Pantai yang tersembunyi dan diapit oleh tebing-tebing tinggi.,"Rp10,000","Rp10,000","Rp3,000","Rp5,000",00.00-23.59,00.00-23.59,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Pantai Watu Lumbung,Area Hutan,Balong,Girisubo,Gunungkidul,Tanah Kasultanan dan SHM,"-8.185728183128543, 110.70020276862637",081917460833,-,-,pantai watu lumbung,paantaai watu lumbung,-,-,Rendah,Alam,4.6,-8.176555152,110.699158,pantai watu lumbung,"Rp5,000","Rp5,000","Rp3,000","Rp5,000",00.00-23.59,00.00-23.59,Ada,Ada,Tidak Ada,Ada,Ada,Ada,Ada
Pantai Sedahan,Pendowo,Jepitu,Girisubo,Gunungkidul,Tanah Kasultanan,"-8.19770585120346, 110.72086009011181",08125601703,-,-,-,spot pantai sedaahan,-,-,Tinggi,Alam,4.6,-8.185059531,110.7222391,pantai sedahan,"Rp10,000","Rp10,000","Rp3,000","Rp5,000",00.00-23.59,00.00-23.59,Ada,Ada,Tidak Ada,Ada,Ada,Ada,Ada
Pantai Wohkudu,Purwodadi,Purwodadi,Tepus,Gunungkidul,Tanah Kasultanan,"-8.1695493,110.6515573",-,-,-,-,-,-,-,Tidak Ada Keterangan,Alam,4.7,-8.083246562,110.441936,Pantai yang masih tersembunyi dengan suasana alami.,"Rp8,000","Rp8,000","Rp3,000","Rp5,000",00.00-23.59,00.00-23.59,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Bukit Paralayang Watugupit,JL.Paralayang,Giricahyo,Purwosari,Gunungkidul,Tanah Kasultanan,"8°01'41""S 110°20'54""E",-,-,-,-,-,-,-,Tidak Ada Keterangan,Alam,4.7,-8.026007009,110.3456655,Titik lepas landas untuk paralayang dengan pemandangan Pantai Parangtritis dan Samudra Hindia,"Rp13,000","Rp13,000","Rp3,000","Rp5,000",06.00-20.00,06.00-20.00,Ada,Ada,Tidak Ada,Ada,Ada,Ada,Ada
Panorama Setro,Tegiri 2,Hargowilis ,Kokap,Kulon Progo,BBWS,"-7.823053383576735, 110.10636310794081",085643766713,083806983855,-,Panorama Setro,panorama_setro,-,-,Tidak Ada Keterangan,Alam,4.7,-7.8228271,110.1064663,Pemandangan Waduk Sermo dan perbukitan.,"Rp15,000","Rp15,000","Rp3,000","Rp5,000",00.00-23.59,00.00-23.59,Ada,Ada,Tidak Ada,Ada,Ada,Ada,Ada
Museum Andi Bayou ,"Jl sejahtera green garden, sumberan, Ngestiharjo, kasihan bantul",Ngestiharjo ,Kasihan,Bantul,Pribadi,"-7.775928, 110.348591",082328456660,-,-,- (adanya akun pribadi),Andibayoumuseumgaleri,- (adanya akun pribadi),-,Tidak Ada Keterangan,Budaya,4.9,-7.774791104,110.3483814,Alat-alat musik lama yang terkait dengan karier bermusik serta koleksi aset milik Andi Bayou,"Rp10,000","Rp10,000","Rp3,000","Rp5,000",09.00-22.00,09.00-22.00,Ada,Ada,Ada,Tidak Ada,Tidak Ada,Tidak Ada,Ada
Sungai Mudal,Banyunganti,Jatimulyo,Girimulyo,Kulon Progo,SHM,"-7.7628292,110.1162867",085210235949,-,ecowisatasungaimudal,ecowisatasungaimudal,ecowisatasungaimudal,ecowisatasungaimudal,ecowisatasungaimudal,Tidak Ada Keterangan,Alam,4.7,-7.76355510,110.11661289,Sungai dengan air yang sangat jernih dan kolam-kolam alami.,"Rp15,000","Rp15,000","Rp2,000","Rp5,000",08.00-16.00,08.00-16.00,Ada,Ada,Tidak Ada,Ada,Ada,Ada,Ada
Watu Goyang ,Cempluk jl watu goyang griloyo,Mangunan,Imogiri,Bantul,Desa,"-7.9274172, 110.4120086",083195666849,087839996079,-,-,-,-,-,Tidak Ada Keterangan,Alam,4.4,-7.926553283,110.4121215,"Batu besar yang dapat digoyang-goyangkan, serta pemandangan perbukitan dan gardu pandang ","Rp5,000","Rp5,000","Rp3,000","Rp7,000",08.00-22.00,08.00-22.00,Ada,Ada,Ada,Ada,Ada,Ada,Ada
Pantai Siung,Siung,Purwodadi,Tepus,Gunungkidul,Tanah Kasultanan,"-8.18163,110.68338",085113462424,-,-,-,-,-,-,Tidak Ada Keterangan,Alam,4.7,-8.181705386,110.6832854,Pantai dengan tebing curam,"Rp10,000","Rp10,000","Rp3,000","Rp5,000",00.00-23.59,00.00-23.59,Ada,Ada,Ada,Ada,Ada,Ada,Ada
Pantai Nampu,Giriwungu,Giriwungu,Panggang,Gunungkidul,Tanah Kasultanan,"8°05'01""S 110°25'00""E",-,-,-,-,-,-,-,Tidak Ada Keterangan,Alam,4.5,-8.209090752,110.9033782,Pemandangan laut,"Rp10,000","Rp10,000","Rp2,000","Rp5,000",00.00-23.59,00.00-23.59,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Pantai Jungwok,Pendowo,Jepitu,Girisubo,Gunungkidul,Tanah Kasultanan,"-8.197785991035222, 110.71438425259446",087838221235,-,-,-,-,-,-,Tinggi,Alam,4.7,-8.196812161,110.7130825,Pantai yang memiliki teluk luas dengan panorama perbukitan hijau.,"Rp8,000","Rp8,000","Rp2,000","Rp5,000",00.00-23.59,00.00-23.59,Ada,Ada,Tidak Ada,Ada,Ada,Ada,Tidak Ada
Pantai Nguyahan,Gebang,Kanigoro,Saptosari ,Gunungkidul,Tanah Kas Desa,"-8.11822660161623, 110.50310178096424",082227888155,-,-,-,pantainguyahangunungkidul,-,-,Tidak Ada Keterangan,Alam,4.6,-8.118215988,110.5030803,Pantai dengan pasir putih yang bersih dan ombak yang tidak terlalu besa,"Rp10,000","Rp10,000","Rp3,000","Rp5,000",00.00-23.59,00.00-23.59,Ada,Ada,Tidak Ada,Ada,Ada,Ada,Ada
Museum Benteng Vredeburg,Jl.  Margomulyo no.6,Ngupasan,Gondomanan,Kota Yogyakarta,Tanah Kasultanan,"-7.800092,110.365653",0274586934,-,www.vredeburg.id,museum benteng vredeburg yogyakarta,museum.benteng.vredeburg,museum benteng vredeburg yogyakarta,museum.benteng.vredeburg,Tidak Ada Keterangan,Sejarah,4.7,-7.799477242,110.366056,Benteng bersejarah peninggalan Belanda yang diubah menjadi museum,"Rp15,000","Rp25,000","Rp3,000","Rp5,000",08.00-20.00,08.00-21.00,Ada,Ada,Ada,Ada,Ada,Ada,Ada
Pantai Grigak,Karang,Girikarto,Panggang,Gunungkidul,Tanah Kasultanan,"8°05'31""S 110°26'02""E",-,-,-,-,pantaigrigak,-,-,Tidak Ada Keterangan,Alam,4.5,-8.084702784,110.435529,Pemandangan alam berupa laut,Rp0,Rp0,"Rp2,000","Rp5,000",00.00-23.59,00.00-23.59,Ada,Ada,Tidak Ada,Ada,Tidak Ada,Tidak Ada,Ada
Gua Maria Tritis,"Jl. Sapto Sari Bulu, Paliyan, Gn. Dowo",Giring,Paliyan,Gunungkidul,PGSP Semarang,"-8.08189423599375, 110.55690722394758",-,-,-,-,@goamariatritis_,-,-,Rendah,Budaya,4.9,-8.080736994,110.5567715,Gua alami yang dijadikan tempat ziarah dan ibadah umat Katolik.,Rp0,Rp0,"Rp3,000","Rp5,000",00.00-23.59,00.00-23.59,Ada,Ada,Ada,Ada,Tidak Ada,Tidak Ada,Ada
Pantai Watu Kodok,Padukuhan Kelor Kidul,Kemadang,Tanjungsari,Gunungkidul,Tanah Kasultanan,"-8.1369753,110.5741515",Pak surahman : 081327544943,-,-,-,-,-,-,Tidak Ada Keterangan,Alam,4.7,-8.136645858,110.5748488,Pantai dengan formasi batu karang unik ,"Rp10,000","Rp10,000","Rp3,000","Rp10,000",00.00-23.59,00.00-23.59,Ada,Ada,Ada,Ada,Ada,Ada,Ada
Watu Amben,"Jl. Dlingo-Patuk, Area Kebun",Srimulyo,Piyungan,Bantul,Tanah Kasultanan,"-7.8584712805763255, 110.47267609999999",085228619612 (Bapak Riyanto),-,-,Watu Amben Yogyakarta,@watuamben,-,-,Menengah Rendah,Alam,4.5,-7.84302308,110.4735992,Pemandangan panorama kota Yogyakarta dari ketinggian.,Rp0,Rp0,"Rp2,000","Rp5,000",00.00-23.59,00.00-23.59,Ada,Tidak Ada,Tidak Ada,Ada,Ada,Ada,Ada
Bukit Kosakora,Padukuhan Wonosobo,Banjarrejo,Tanjungsari,Gunungkidul,Tanah Kasultanan,"-8.1411028,110.5841088",Pak Yatno : 08228262862,pak pre (ketua pok darwis) :081227281233,-,@pantaingrumput,@bukit_kosakora,-,-,Menengah Rendah,Alam,4.6,-8.140935248,110.5840787,Pemandangan panorama sunset dan sunrise,"Rp2,000","Rp5,000","Rp2,000","Rp5,000",00.00-23.59,00.00-23.59,Ada,Ada,Tidak Ada,Ada,Ada,Ada,Ada
Pantai Sadranan,Pulegundes,Sidoharjo,Tepus,Gunungkidul,Tanah Kasultanan,"-8,145376S 110,603921E",Wasdiyo 081227656178,-,-,-,-,-,-,Rendah,Alam,4.7,-8.132814414,110.6034378,Pantai,"Rp15,000","Rp15,000","Rp2,000","Rp5,000",00.00-23.59,00.00-23.59,Tidak Ada,Ada,Tidak Ada,Ada,Ada,Ada,Tidak Ada
Diorama Arsip Jogja ,"Gedung Depo Arsip, Jl Janti Wonocatur Banguntapan ",Banguntapan ,Banguntapan,Bantul,"Pemerintah, berbeda struktur dengan perpustakaan graha","-7.800247, 110.406958",085600515731,085158266211,Dioramaarsip.jogjaprov.go.id,Dioramaarsipjogja,Dioramaarsipjogja,-,Dioramaarsipjogja,Rendah,Sejarah,4.9,-7.798974493,110.4070763,Memvisualisasikan informasi arsip melalui media terkini,"Rp30,000","Rp30,000","Rp3,000","Rp5,000",09.00-14.30,09.00-14.30,Ada,Ada,Ada,Ada,Ada,Ada,Ada
Museum Sonobudoyo,Jl. Pangurakan No. 6,Ngupasan,Gondomanan,Kota Yogyakarta,,,,,,,,,,,Sejarah,4.8,-7.799859812,110.3636608,"koleksi yang mencakup berbagai kategori, mulai dari arkeologi, geologi, filologi, hingga seni rupa","Rp10,000","Rp10,000","Rp3,000","Rp5,000",08.00-21.00,08.00-21.00,Ada,Ada,Ada,Ada,Ada,Ada,Ada
Nawang Jagad,"Jl. Nawang Jagad, Padukuhan Kaliurang Barat, Desa Hargobinangun",Hargobinangun,Pakem,Sleman,,,,,,,,,,,Alam,4.7,-7.597199877,110.4219871,"Pemandangan Langsung Puncak Merapi, Area Piknik dan Berkemah (Camping Ground)","Rp15,000","Rp15,000","Rp3,000","Rp5,000",08.00-15.45,06.00-17.45,Ada,Ada,Ada,Ada,Ada,Ada,Tidak Ada
Pantai Greweng,Pendowo,Jepitu,Girisubo,Gunungkidul,Tanah Kasultanan,"–8.1978, 110.7188",083154914888 (bu anik),-,-,-,@pantaigreweng,-,-,Rendah,Alam,4.6,-8.195570495,110.7187074,Pantai tersembunyi dengan pasir putih dan gua di sisi tebing,"Rp10,000","Rp10,000","Rp3,000","Rp5,000",00.00-23.59,00.00-23.59,Tidak Ada,Ada,Tidak Ada,Ada,Tidak Ada,Tidak Ada,Ada
Museum UGM,"Universitas Gadjah Mada, Blk. D, Jl. Sagan 6 & D-7, Sagan",Caturtunggal,Depok,Sleman,Milik Universitas Gadjah Mada,"-7.77396275639943, 110.37787878964721",081249015709,-,https://museum.ugm.ac.id/home/,Museum UGM,Museum Universitas Gadjah Mada,@museumugm,@museumugm,Tinggi,Sejarah,4.7,-7.773084947,110.3778922,"Bangunan Sejarah (Konverensi Colombo Plan), Sebagai tempat tinggal Obama masa kecil dan sebagai brand UGM serta Koleksi foto, dokumen, dan benda-benda bersejarah yang berkaitan dengan Universitas Gadjah Mada.",Rp0,Rp0,"Rp3,000","Rp5,000",09.00-16.00,closed,Ada,Ada,Ada,Ada,Ada,Ada,Ada
Pantai Seruni,Tepus,Tepus,Tepus,Gunungkidul,Tanah Kasultanan,"-8.15974,110.63158",085225822685,-,-,-,-,-,-,Tidak Ada Keterangan,Alam,4.5,-8.152698036,110.6318505,pantai,"Rp15,000","Rp15,000","Rp3,000","Rp5,000",00.00-23.59,00.00-23.59,Ada,Ada,Tidak Ada,Ada,Ada,Tidak Ada,Ada
Pantai Krokoh,Area Hutan,Songbanyu,Girisubo,Gunungkidul,Tanah Kasultanan,"-8.201346330928015, 110.82969466814406",0822655511318 (awanda),-,-,-,pantai_krokoh_gunungkidul,-,Pantai Krokoh,Tinggi,Alam,4.5,-8.194216975,110.8291911,pantai krokoh  dengan pasir putih dan diapit tebing,"Rp5,000","Rp5,000","Rp3,000","Rp5,000",00.00-23.59,00.00-23.59,Ada,Ada,Tidak Ada,Ada,Ada,Ada,Ada
Pantai Slili,Pulegundes,Sidoharjo,Tepus,Gunungkidul,Tanah Kasultanan,"-8,145009S, 110,601398E",Agus 08112888166,-,-,-,-,-,-,Rendah,Alam,4.5,-8.141152589,110.6024899,Pantai kecil yang  diapit oleh dua tebing.,"Rp15,000","Rp15,000","Rp3,000","Rp5,000",00.00-23.59,00.00-23.59,Tidak Ada,Ada,Tidak Ada,Tidak Ada,Ada,Ada,Tidak Ada
Pantai Krakal,"
Kemadang",Ngestirejo,Tanjungsari,Gunungkidul,Tanah Kasultanan,"-8.1450098,110.5998826",pak heri- 08234945806,-,-,-,@krakalbeach,-,-,Tidak Ada Keterangan,Alam,4.5,-8.144824831,110.5998885,Pantai Krakal,"Rp15,000","Rp15,000","Rp3,000","Rp5,000",08.00-17.00,08.00-17.00,Ada,Ada,Ada,Ada,Ada,Ada,Ada
Museum Bank Indonesia,"Jl. Secodiningratan, Prawirodirjan",Ngupasan,Gondomanan,Kota Yogyakarta,,,,,,,,,,,Sejarah,4.7,-7.800465166,110.3652651,"Koleksi numismatik yang kaya,arsitektur Kolonial dan Ruang Pamer Interaktif","Rp5,000","Rp5,000","Rp3,000","Rp5,000",08.00-15.00,08.00-15.00,Ada,Ada,Ada,Ada,Tidak Ada,Ada,Tidak Ada
Sendang Beji,Parangreja,Girijati,Purwosari,Gunungkidul,Tanah Kasultanan,"8°05'20""S 110°29'02""E
",0813-2649-0686,-,-,-,sendangbejiofficial,-,-,Tidak Ada Keterangan,Sejarah,4.5,-7.863343525,110.6514775,"Mata air alami yang dianggap sakral, sering digunakan untuk ritual.","Rp8,000","Rp8,000","Rp3,000","Rp5,000",00.00-23.59,00.00-23.59,Ada,Ada,Tidak Ada,Ada,Ada,Ada,Ada
Pantai Kukup,Ngepung,Kemadang ,Tanjungsari ,Gunungkidul,Tanah Kasultanan ,"-8.128645, 110.549056",08895341891,-,-,-,Pangaikukup,-,-,Tidak Ada Keterangan,Alam,4.6,-8.132180503,110.5546142,Pantai dengan Pulau jumingo yang bisa diakses lewat jembatan (tanah lot Jogja),"Rp15,000","Rp15,000","Rp3,000","Rp5,000",00.00-23.59,00.00-23.59,Ada,Ada,Ada,Ada,Ada,Ada,Ada
Pantai Kesirat ,"Karang, Girikarto, Panggang",Panggang,Panggang,Gunungkidul,Tanah Kasultanan,"8°05'46""S 110°26'06""E",081385679152,-,-,-,pantai.kesirat,-,-,Tidak Ada Keterangan,Alam,4.7,-8.08816852,110.4368086,"Pemandangan laut, Tebing karang yang curam dengan pemandangan laut lepa","Rp8,000","Rp8,000","Rp3,000","Rp5,000",00.00-23.59,00.00-23.59,Ada,Ada,Tidak Ada,Ada,Ada,Ada,Ada
Pantai Ngunggah,Pejaten,Giriwungu,Panggang,Gunungkidul,Tanah Kasultanan,"8°04'50""S 110°24'44""E",-,-,-,-,pantai_ngunggah,-,pantaingunggah,Tidak Ada Keterangan,Alam,4.6,-8.07821855,110.4086345,"Pantai yang masih perawan dan tersembunyi, membutuhkan trekking untuk mencapainya.","Rp5,000","Rp5,000","Rp3,000","Rp5,000",00.00-23.59,00.00-23.59,Ada,Ada,Tidak Ada,Ada,Ada,Tidak Ada,Ada
Tlogo Muncar ,"Jl. Tlogo Putri, Area Hutan, Hargobinangun, Kec. Pakem",Hargobinangun,Pakem,Sleman,Pemerintah,"-7.591517035660918, 110.43398622161894",081327494960,-,-,-,@btn_gn_merapi,-,-,Rendah,Alam,4.4,-7.591158165,110.4339219,Air terjun yang mengalir saat musim hujan.,"Rp10,000","Rp15,000","Rp2,000","Rp10,000",09.00-15.00,09.00-15.00,Ada,Ada,Tidak Ada,Ada,Tidak Ada,Ada,Ada
Gunung Kendil ,"Jl. Bukit Kendil, Nglambur",Sidoharjo,Samigaluh,Kulon Progo,"Tanah Kasultanan, SHM, pemda kulonprogo","-7.6456006466639295, 110.18856589441343",0858668123490,-,-,-,@gunnungkendil_kp,-,@gunnungkendil_kp,Tidak Ada Keterangan,Alam,4.7,-7.9345026,111.0508548,Bukit yang menawarkan pemandangan sunset dan sunrise,"Rp5,000","Rp5,000","Rp2,000","Rp5,000",00.00-23.59,00.00-23.59,Ada,Ada,Tidak Ada,Ada,Ada,Tidak Ada,Ada
